Commodity,Attribute,Country,1972/1973,1973/1974,1974/1975,1975/1976,1976/1977,1977/1978,1978/1979,1979/1980,1980/1981,1981/1982,1982/1983,1983/1984,1984/1985,1985/1986,1986/1987,1987/1988,1988/1989,1989/1990,1990/1991,1991/1992,1992/1993,1993/1994,1994/1995,1995/1996,1996/1997,1997/1998,1998/1999,1999/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,Unit Description
"Oil, Peanut",Crush,Argentina,331.0,260.0,257.0,250.0,478.0,323.0,508.0,153.0,108.0,187.0,106.0,115.0,101.0,100.0,332.0,167.0,77.0,104.0,314.0,300.0,119.0,140.0,183.0,232.0,168.0,236.0,233.0,203.0,200.0,190.0,127.0,181.0,197.0,172.0,131.0,216.0,272.0,165.0,132.0,195.0,211.0,210.0,278.0,269.0,293.0,306.0,319.0,235.0,245.0,280.0,150.0,250.0,(1000 MT)
,,Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,32.0,22.0,20.0,29.0,27.0,27.0,31.0,30.0,37.0,35.0,37.0,42.0,42.0,40.0,37.0,43.0,44.0,50.0,51.0,52.0,54.0,63.0,63.0,63.0,64.0,65.0,(1000 MT)
,,Belgium-Luxembourg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,50.0,50.0,55.0,50.0,54.0,54.0,60.0,60.0,60.0,60.0,60.0,65.0,60.0,60.0,65.0,65.0,65.0,65.0,100.0,95.0,100.0,100.0,90.0,100.0,(1000 MT)
,,Brazil,401.0,308.0,301.0,350.0,220.0,230.0,353.0,432.0,196.0,252.0,190.0,160.0,250.0,116.0,95.0,60.0,55.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,55.0,55.0,55.0,60.0,60.0,55.0,60.0,100.0,88.0,97.0,113.0,120.0,120.0,125.0,135.0,170.0,130.0,160.0,160.0,160.0,170.0,150.0,200.0,240.0,420.0,300.0,400.0,(1000 MT)
,,Burkina Faso,45.0,47.0,49.0,49.0,49.0,64.0,53.0,53.0,53.0,58.0,58.0,58.0,48.0,93.0,125.0,111.0,145.0,125.0,125.0,125.0,125.0,155.0,145.0,165.0,160.0,150.0,150.0,192.0,130.0,200.0,214.0,210.0,185.0,140.0,140.0,145.0,230.0,210.0,220.0,170.0,217.0,245.0,230.0,235.0,235.0,235.0,235.0,260.0,360.0,350.0,385.0,400.0,(1000 MT)
,,Burma,228.0,243.0,275.0,278.0,344.0,338.0,284.0,250.0,319.0,417.0,433.0,426.0,534.0,448.0,435.0,415.0,301.0,321.0,320.0,228.0,285.0,253.0,291.0,329.0,349.0,330.0,340.0,350.0,390.0,410.0,425.0,560.0,520.0,560.0,570.0,580.0,640.0,715.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,870.0,750.0,800.0,(1000 MT)
,,Cameroon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,15.0,43.0,59.0,63.0,64.0,67.0,64.0,69.0,130.0,150.0,150.0,165.0,168.0,170.0,180.0,180.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,(1000 MT)
,,Central African Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,75.0,79.0,82.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,65.0,65.0,85.0,85.0,85.0,(1000 MT)
,,Chad,16.0,18.0,32.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,55.0,39.0,75.0,75.0,75.0,75.0,105.0,65.0,95.0,85.0,72.0,68.0,100.0,100.0,100.0,100.0,100.0,100.0,93.0,100.0,100.0,100.0,100.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,(1000 MT)
,,China,1018.0,1030.0,1142.0,1113.0,911.0,961.0,1154.0,1368.0,1667.0,1889.0,1915.0,1928.0,2532.0,3482.0,3015.0,3219.0,2893.0,2750.0,3250.0,3305.0,3028.0,4449.0,5411.0,5500.0,5495.0,5150.0,6176.0,6420.0,6800.0,6800.0,7150.0,6800.0,7164.0,7241.0,6450.0,6800.0,6950.0,7050.0,7550.0,7700.0,8100.0,8250.0,8200.0,8600.0,8450.0,8950.0,9150.0,9900.0,10100.0,9900.0,9800.0,9600.0,(1000 MT)
,,Congo (Kinshasa),81.0,87.0,108.0,112.0,112.0,107.0,110.0,110.0,107.0,120.0,123.0,127.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,229.0,179.0,179.0,139.0,139.0,130.0,120.0,130.0,120.0,130.0,127.0,128.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,(1000 MT)
,,Cote d'Ivoire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,30.0,32.0,34.0,32.0,32.0,28.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,45.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,(1000 MT)
,,Dominican Republic,72.0,66.0,51.0,59.0,51.0,42.0,40.0,24.0,24.0,21.0,17.0,16.0,13.0,15.0,16.0,15.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Ecuador,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,EU-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,22.0,23.0,15.0,10.0,11.0,25.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,European Union,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,43.0,45.0,26.0,30.0,31.0,31.0,30.0,30.0,31.0,31.0,35.0,30.0,32.0,32.0,32.0,32.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,(1000 MT)
,,Former Czechoslovakia,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,10.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,France,331.0,310.0,270.0,324.0,188.0,239.0,162.0,132.0,79.0,74.0,38.0,72.0,64.0,40.0,7.0,32.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,"Gambia, The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,38.0,50.0,50.0,55.0,49.0,55.0,57.0,55.0,56.0,53.0,55.0,55.0,55.0,50.0,50.0,50.0,50.0,45.0,32.0,15.0,5.0,10.0,10.0,15.0,20.0,20.0,(1000 MT)
,,German Democratic Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,"Germany, Federal Republic of",27.0,19.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Guatemala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Guinea,9.0,9.0,9.0,9.0,9.0,11.0,11.0,29.0,30.0,30.0,30.0,25.0,28.0,25.0,25.0,20.0,15.0,16.0,25.0,25.0,25.0,25.0,25.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Hong Kong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,India,3511.0,4197.0,4491.0,4899.0,4448.0,4700.0,4970.0,4617.0,4059.0,5569.0,4417.0,5544.0,5241.0,4210.0,4690.0,4700.0,7175.0,6491.0,5999.0,5714.0,7056.0,6100.0,6600.0,5870.0,7270.0,6060.0,5820.0,4112.0,4303.0,5761.0,4123.0,5680.0,4500.0,4700.0,3960.0,5040.0,4550.0,3500.0,3750.0,3700.0,3000.0,3900.0,3000.0,2650.0,3600.0,3700.0,3300.0,3650.0,3900.0,3855.0,3700.0,3500.0,(1000 MT)
,,Indonesia,91.0,100.0,38.0,33.0,42.0,45.0,42.0,47.0,47.0,43.0,42.0,42.0,37.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,56.0,65.0,66.0,66.0,66.0,68.0,72.0,72.0,72.0,63.0,65.0,65.0,65.0,60.0,55.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,(1000 MT)
,,Italy,122.0,103.0,98.0,128.0,79.0,62.0,72.0,28.0,35.0,53.0,11.0,12.0,7.0,8.0,9.0,9.0,10.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Japan,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,(1000 MT)
,,Malawi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,75.0,85.0,87.0,63.0,81.0,61.0,68.0,92.0,93.0,95.0,95.0,110.0,115.0,125.0,125.0,115.0,100.0,85.0,100.0,120.0,125.0,125.0,125.0,125.0,125.0,(1000 MT)
,,Malaysia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,20.0,6.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,(1000 MT)
,,Mali,100.0,62.0,76.0,101.0,58.0,80.0,92.0,86.0,68.0,68.0,59.0,30.0,30.0,60.0,60.0,70.0,85.0,60.0,70.0,65.0,65.0,95.0,135.0,95.0,106.0,103.0,50.0,115.0,65.0,65.0,65.0,62.0,57.0,100.0,106.0,116.0,117.0,117.0,117.0,117.0,117.0,117.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,(1000 MT)
,,Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,(1000 MT)
,,Mozambique,43.0,43.0,25.0,25.0,28.0,25.0,28.0,26.0,31.0,28.0,27.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,15.0,21.0,21.0,31.0,41.0,41.0,41.0,50.0,70.0,52.0,50.0,52.0,50.0,49.0,52.0,42.0,50.0,47.0,50.0,60.0,60.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,(1000 MT)
,,Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Nicaragua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,45.0,45.0,60.0,65.0,70.0,75.0,75.0,75.0,75.0,75.0,75.0,65.0,55.0,54.0,40.0,40.0,40.0,40.0,(1000 MT)
,,Niger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,28.0,33.0,57.0,75.0,53.0,40.0,36.0,36.0,100.0,100.0,130.0,130.0,130.0,140.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,165.0,180.0,190.0,(1000 MT)
,,Nigeria,383.0,355.0,438.0,406.0,332.0,333.0,366.0,302.0,204.0,165.0,152.0,200.0,200.0,109.0,104.0,100.0,100.0,155.0,80.0,100.0,103.0,100.0,100.0,120.0,150.0,370.0,500.0,510.0,700.0,650.0,680.0,700.0,750.0,750.0,700.0,680.0,680.0,700.0,800.0,800.0,794.0,650.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,(1000 MT)
,,Philippines,5.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Senegal,385.0,425.0,775.0,1050.0,900.0,372.0,743.0,411.0,258.0,574.0,636.0,285.0,185.0,284.0,500.0,580.0,465.0,582.0,480.0,502.0,400.0,400.0,350.0,350.0,200.0,177.0,233.0,333.0,400.0,307.0,167.0,97.0,103.0,157.0,273.0,143.0,100.0,210.0,333.0,117.0,73.0,100.0,170.0,90.0,120.0,170.0,200.0,40.0,100.0,100.0,110.0,115.0,(1000 MT)
,,South Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,35.0,60.0,35.0,25.0,25.0,25.0,30.0,25.0,25.0,25.0,25.0,22.0,20.0,18.0,15.0,10.0,10.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,(1000 MT)
,,Spain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Sudan,91.0,229.0,285.0,312.0,330.0,415.0,510.0,548.0,377.0,426.0,214.0,184.0,175.0,120.0,190.0,180.0,180.0,200.0,145.0,200.0,200.0,200.0,200.0,180.0,180.0,200.0,205.0,208.0,510.0,495.0,520.0,464.0,323.0,217.0,249.0,250.0,340.0,476.0,476.0,476.0,476.0,600.0,600.0,700.0,700.0,700.0,825.0,950.0,850.0,850.0,800.0,700.0,(1000 MT)
,,Sweden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Switzerland,85.0,58.0,65.0,68.0,56.0,31.0,38.0,22.0,16.0,15.0,20.0,19.0,23.0,29.0,36.0,26.0,28.0,24.0,22.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Taiwan,33.0,34.0,33.0,32.0,31.0,27.0,27.0,20.0,18.0,17.0,10.0,12.0,12.0,10.0,8.0,10.0,15.0,12.0,16.0,23.0,17.0,23.0,22.0,22.0,22.0,20.0,20.0,15.0,20.0,17.0,20.0,20.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,9.0,11.0,13.0,13.0,12.0,11.0,11.0,10.0,10.0,10.0,10.0,(1000 MT)
,,Tanzania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,26.0,120.0,185.0,170.0,176.0,140.0,174.0,220.0,175.0,175.0,270.0,350.0,400.0,425.0,435.0,460.0,425.0,425.0,425.0,425.0,425.0,425.0,425.0,425.0,(1000 MT)
,,Thailand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,20.0,20.0,33.0,32.0,25.0,22.0,22.0,22.0,22.0,22.0,25.0,30.0,35.0,35.0,35.0,37.0,37.0,37.0,37.0,35.0,35.0,35.0,35.0,35.0,35.0,(1000 MT)
,,Togo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,(1000 MT)
,,Turkey,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,8.0,15.0,18.0,15.0,10.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,15.0,15.0,15.0,17.0,17.0,17.0,15.0,10.0,10.0,10.0,12.0,14.0,10.0,10.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,(1000 MT)
,,Uganda,75.0,70.0,68.0,62.0,67.0,66.0,28.0,23.0,28.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,30.0,35.0,35.0,35.0,35.0,35.0,35.0,45.0,40.0,40.0,40.0,39.0,40.0,41.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,80.0,90.0,110.0,110.0,110.0,110.0,110.0,100.0,35.0,85.0,35.0,50.0,75.0,60.0,60.0,(1000 MT)
,,United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,United States,386.0,310.0,267.0,656.0,503.0,220.0,239.0,259.0,202.0,260.0,155.0,176.0,283.0,369.0,233.0,254.0,369.0,283.0,313.0,500.0,404.0,304.0,445.0,453.0,314.0,247.0,209.0,323.0,249.0,317.0,390.0,244.0,179.0,247.0,233.0,226.0,202.0,198.0,267.0,274.0,298.0,301.0,306.0,322.0,399.0,320.0,294.0,351.0,396.0,382.0,360.0,306.0,(1000 MT)
,,Vietnam,43.0,41.0,33.0,49.0,47.0,48.0,37.0,46.0,68.0,63.0,48.0,74.0,74.0,74.0,44.0,43.0,43.0,43.0,45.0,43.0,53.0,55.0,60.0,73.0,110.0,100.0,115.0,113.0,90.0,99.0,114.0,118.0,125.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,40.0,40.0,40.0,60.0,60.0,60.0,60.0,60.0,35.0,35.0,35.0,35.0,(1000 MT)
,,Zambia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,(1000 MT)
,,Zimbabwe,30.0,27.0,24.0,30.0,11.0,6.0,7.0,3.0,6.0,6.0,0.0,2.0,2.0,3.0,7.0,15.0,8.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,"Extr. Rate, 999.9999",Argentina,2356.0,2269.0,2607.0,2480.0,2699.0,2693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.36,0.36,0.36,0.36,0.33,0.33,0.31,0.31,0.31,0.3,0.29,0.32,0.3,0.29,0.3,0.3,0.32,0.32,0.32,0.31,0.31,0.33,0.29,0.29,0.29,0.29,0.35,0.32,(PERCENT)
,,Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.25,0.36,0.0,0.31,0.0,0.0,0.32,0.33,0.32,0.34,0.32,0.33,0.33,0.33,0.32,0.33,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,(PERCENT)
,,Belgium-Luxembourg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3333.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(PERCENT)
,,Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.32,0.32,0.32,0.32,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,(PERCENT)
